Report date,Phase,Block,Source,Severity,Status,Issue,Doc,Owner,Assistant,Sheet,Change?,武汉实验室 失效分析汇总
2024/3/29,5.DVT1,6.Display/Touch,4.Build,S3,Closed,"Issue: DVT1二供组装，3台华星屏幕显示偏绿，KP反馈现象跟随主板
analysis: 1. 现象固定，此主板搭配天马屏幕ok, 搭配所有华星屏幕发绿
                 2. fastboot下显示ok， kernel 异常，怀疑有参数更改，监控从正常到变绿时，电压，帧率，MIPI clk均正常
                 3. AP mipi data 测试，相同主板，点白色图片。天马模组MIPI data 波形正常，华星模组MIPI data异常，说明使用华星模组时，AP有对白色图片进行处理。
 样机寄送供应商分析： 
1.IC bist画面测试，白色色坐标正常。---说明模组及相关设定正常。
2. 删除效果参数，偏绿没有变化。
3. 删除效果参数及校准文件，偏绿恢复正常。
4. 将校准文件重新写入，效果正常。

rootcause: 华星效果参数用错成别的项目，需要重新调试效果参数。DVT2已经导入新参数，目前未报问题",,芳梅,,link,4.Parameter,
2024/3/7,5.DVT1,5.Camera,6.Issue,S3,Closed,"Issue：front camera RCN value exceed standard
analysis: 
rootcause: crosstalk from display
solution: remove to KP yaocf1",,邦邦,,,,
2024/3/5,5.DVT1,5.Camera,6.Issue,S3,Closed,"Issue：DVT1 CQA test camera0 N78 干扰测试failed , failure 1pcs (测2台)，批量数据待测
rootcause: MainCamera CPHY interfered from  thermal graphite film coupled radiation  of n78 on ANT9 
solution: change the shape of graphite to avoid  overlap the main camera connector fromDVT2",,邦邦,,link,5.SW/ME/RF/ANT/Component/MFG/Vendor,
2024/3/2,5.DVT1,10.USB-C,4.Build,,Closed,"Issue: Sub usb Type-C连接器屏蔽壳对地短接的电阻被ANT删除，这6颗电容位按照最初讨论为DCM 贴电容，ROW 贴0R，ANT为兼容DCM和ROW公用天线，直接将ROW 这6颗本来贴0R 电阻 DNS掉
Rootcause ： 此6颗接地位需要和BB/RF一起商定贴片方案及铁壳接地方案，ANT在warroom上提出问题，但未收集到BB和RF反馈，直接修改方案
solution：DVT1 贴0R下地，ANT 优化天线设计，
                DVT2 因为DCM SKU删除，不需要兼容DCM，DVT2小板删除预留电容位，直接铁壳打孔接地-done
lesson learn ；职责划分清楚，兼容部分涉及到更改，需要同步到ANT ,BB ,RF ,若需更改BOM，需要提交给基带进行修改",,芳梅,文亭,wrangler usb typec屏蔽壳接地方式评估,2.PCB,
2024/2/21,4.EVT,1.Platform,5.4 ALT,,Closed,"Issue：EVT  EMEA P+ESIM， Unable to read PSIM Card ， failure 4pcs （2 Alt, 2 xiamen ant ）
Rootcause ：校准数据丢失",,liguoa,,,5.SW/ME/RF/ANT/Component/MFG/Vendor,
2024/1/31,4.EVT,12.EMC,5.3 EE DVT,S3,Closed,"Issue：EVT EDU14   surge test fail on VBAT test point test ，200V fail.
clue：B_PLUS short to GND
Rootcause ：U1571        PM7350C  damaged in surge test
                 surge TVS layout is not best
solution：Optimize Vbat TVS layout . monitor DVT1 test
lesson learn: add Vbat  surge TVS layout in  checklist 。DVT1 pass",,韩凯,敏敏,,2.PCB,
2024/1/29,4.EVT,3.Charging,4.Build,NA,Closed,"RISK：add WLC TX  function，PCMCR：https://idart.mot.com/browse/PCMWRANGLE-7
Solution：Go with Option1 （1.PM8350B change to PM8350BH bacause PM8350B only support 5V haptic boost but PM8350BH support 10V haptic boost 2.add a loadswitch to get power from haptic boost，3.add TX Modulation and Demodulation component  4.DNI FW update power MOSs because can reuse haptic boost power from Loadswitch）.
Change import from DVT1 。DVT1 ongoing ，TX function ok。detail tuning ongoing",link,文亭,,,1.SCH,
2024/1/29,4.EVT,1.Platform,4.Build,NA,Closed,"Issue ：India P+P SKU SIM2 can't not recognized
Rootcause： The VSIM2 power supply design is different in the S21 and S54K
Solution：VSIM2 resistor  is disconnected inS21 desgin
                  ",,liguoa,芳梅,,1.SCH,
2024/1/22,4.EVT,3.Charging,4.Build,NA,Closed,"Risk ：SC8549D may not able to work ，About 30% on Glory&Aura
Clue：1.incoming date Later than 20231222 lot should have problem
2.Wrangler EVT ：E03 35pcs，  E05 8pcs firstboard ， E04 30+pcs use Old component ，should not have problem
         Others ~400pcs ，use new component  should  have problem.
Issue ：india SKU  firstboard 1pcs fail/total 3 pcs.  sent fail IC to Vendor for analysis
Rootcause：waiting for Vendor analysis
solution ：change SC8549D to SC8541 from DVT1.
PCMCR:https://idart.mot.com/browse/PCMWRANGLE-8",,文亭,,glory 无法快充分析,1.SCH,
,4.EVT,2.Power,5.2 BB Test,NA,Closed,"Issue ：  power off current leakage 5.4mA
  clue:  1. fastcharger IC(VBAT2) can reduce 0.5mA maybe charging setting issue
             2. charging  Patch1 (CP related)： reduce 1mA .   so there is other part issue too.
Solution:update 310 continuous build,UI power off leakage=274uA",,wuxm5,文亭,可能漏电器件汇总,5.SW/ME/RF/ANT/Component/MFG/Vendor,
,3.PEL,1.Platform,5.1 Bring up,S3,Closed,"Issue ： camera PMIC  bringup fail & Smart PA2 bringup fail
Rootcause： I2C address conflict on Smart PA2 & camera PMIC 2  . both are 0x35
Solution：EVB rework  ，solution ongoing
                   EVT change smart PA2 I2C  （have 4 I2C address option ）
lesson：Need to add all the I2C component into Qwiki -I2C  map page. and check if I2C address conflict happen
               when setup ,change ,add 2nd source.  ---  All Experts 
               remind 1 time at the day before EVB gerber out---platform design owner",,chenbang,,,1.SCH,
